nomsuc2,numinv,caract,marca,color,moduni,numser,nomsuc1,diasapar,nomvenapar,diaseninv,numfacc,fecreg,tipocompra,obs_veh,nummot,numinv2,tipuni,llaves,desnac_imp,modellinea,descvers,ctoori,ctocon,ctototal
"BODEGA JUCHITAN","29760","SENTRA SENSE CVT 2.0 LTS","NISSAN","ROJO BURDEOS/NEGRO","2026","3N1AB9AE6TY256427","JUCHITAN",0,"",165,"4106239",09/03/2026,"P4V","DISPONIBLE","MR20355747K","","NSSC1","","NACIONAL","","",355163.26,0.00,355163.26
"BODEGA ORIZABA","29799","SENTRA SENSE CVT 2.0 LTS","NISSAN","GRAFENO/NEGRO","2026","3N1AB9AE6TY263927","ORIZABA",0,"",161,"4108702",13/03/2026,"P4V","TAPETES RIGIDOS $ 1770 + TAPETE RIGIDO CAJUELA $ 2,580","MR20372790K","","NSSC1","","NACIONAL","","",355163.26,2438.57,357601.83
"BODEGA JUCHITAN","29805","SENTRA SENSE CVT 2.0 LTS","NISSAN","GRAFENO/NEGRO","2026","3N1AB9AE8TY259975","JUCHITAN",0,"",161,"4107922",13/03/2026,"P4V","DISPONIBLE","MR20363027K","","NSSC1","","NACIONAL","","",355163.26,0.00,355163.26
"BODEGA ORIZABA","29877","SENTRA SENSE CVT 2.0 LTS","NISSAN","GRIS OXFORD/NEGRO","2026","3N1AB9AE6TY262504","ORIZABA",0,"",151,"4115427",23/03/2026,"P4V","TAPETES RIGIDOS $ 1770 + TAETE RIGIDO CAJUELA $ 2,580","MR20354918K","","NSSC1","","NACIONAL","","",355163.26,2438.56,357601.82
"BODEGA TUXTEPEC","29885","SENTRA SENSE CVT 2.0 LTS","NISSAN","BLANCO PERLADO/NEGRO","2026","3N1AB9AE6TY268531","TUXTEPEC",0,"",151,"4115542",23/03/2026,"P4V","KIT DE EMERGENCIA $ 2,590 + TAPETES RIGIDOS $ 1,770","MR20380904K","","NSSC1","","NACIONAL","","",355163.26,0.00,355163.26
"BODEGA TIERRABLANCA","29913","SENTRA SENSE CVT 2.0 LTS","NISSAN","GRIS OXFORD/NEGRO","2026","3N1AB9AE3TY268891","TIERRA BLANCA",0,"",150,"4116204",24/03/2026,"P4V","DISPONIBLE","MR20378766K","","NSSC1","","NACIONAL","","",355163.26,0.00,355163.26
"BODEGA TIERRABLANCA","29914","SENTRA SENSE CVT 2.0 LTS","NISSAN","ROJO BURDEOS/NEGRO","2026","3N1AB9AE6TY270392","TIERRA BLANCA",0,"",150,"4116206",24/03/2026,"P4V","RED DE CAJUELA $520+ GANCHO CAJUELA BOLSAS $ 740.00 + TAPETES RIGIDOS $ 1,770.00","MR20382610K","","NSSC1","","NACIONAL","","",355163.26,0.00,355163.26
"BODEGA TUXTEPEC","30004","SENTRA SENSE CVT 2.0 LTS","NISSAN","GRAFENO/NEGRO","2026","3N1AB9AE5TY262736","TUXTEPEC",0,"",150,"4116423",24/03/2026,"P4V","TAPETES USO RUDO, TAPETE CAJUELA","MR20366930K","","NSSC1","","NACIONAL","","",355163.26,0.00,355163.26
"BODEGA JUCHITAN","30023","SENTRA SENSE CVT 2.0 LTS","NISSAN","GRIS OXFORD/NEGRO","2026","3N1AB9AE9TY262481","JUCHITAN",0,"",150,"4116424",24/03/2026,"P4V","(JUCHITAN) (# CONCS. : 00525), CANAL ASIG. : ALLOCAT - INDEFINIDO","MR20368053K","","NSSC1","","NACIONAL","","",355163.26,0.00,355163.26
"BODEGA ORIZABA","30093","SENTRA SENSE CVT 2.0 LTS","NISSAN","ROJO BURDEOS/NEGRO","2026","3N1AB9AE4TY272772","ORIZABA",0,"",148,"4118420",26/03/2026,"P4V","KIT DE EMERGENCIA","MR20385831K","","NSSC1","","NACIONAL","","",355163.26,1654.36,356817.62
"BODEGA TUXTEPEC","30268","SENTRA SENSE CVT 2.0 LTS","NISSAN","BLANCO PERLADO/NEGRO","2026","3N1AB9AE4TY268897","TUXTEPEC",0,"",143,"4124658",31/03/2026,"P4V","TAPETES USO RUDO, TAPETE CAJUELA","MR20378765K","","NSSC1","","NACIONAL","","",355163.26,0.00,355163.26
"BODEGA TUXTEPEC","30269","SENTRA SENSE CVT 2.0 LTS","NISSAN","BLANCO PERLADO/NEGRO","2026","3N1AB9AE9TY270015","TUXTEPEC",0,"",143,"4124659",31/03/2026,"P4V","TAPETES USO RUDO","MR20377500K","","NSSC1","","NACIONAL","","",355163.26,0.00,355163.26
"BODEGA TUXTEPEC","30270","SENTRA SENSE CVT 2.0 LTS","NISSAN","BLANCO PERLADO/NEGRO","2026","3N1AB9AE2TY272138","TUXTEPEC",0,"",143,"4124657",31/03/2026,"P4V","TAPETES USO RUDO","MR20383703K","","NSSC1","","NACIONAL","","",355163.26,0.00,355163.26
"BODEGA SALINA CRUZ","30295","SENTRA SENSE CVT 2.0 LTS","NISSAN","ROJO BURDEOS/NEGRO","2026","3N1AB9AE2TY276254","SALINA CRUZ",0,"",133,"4125855",10/04/2026,"P4V","(SALINA CRUZ) (# CONCS. : 00526), CANAL ASIG. : ALLOCAT - INDEFINIDO","MR20395105K","","NSSC1","","NACIONAL","","",355285.26,0.00,355285.26
"BODEGA SALINA CRUZ","30301","SENTRA SENSE CVT 2.0 LTS","NISSAN","BLANCO PERLADO/NEGRO","2026","3N1AB9AE4TY276305","SALINA CRUZ",0,"",129,"4126504",14/04/2026,"P4V","(SALINA CRUZ) (# CONCS. : 00526), CANAL ASIG. : ALLOCAT - INDEFINIDO","MR20398786K","","NSSC1","","NACIONAL","","",355285.26,0.00,355285.26
"BODEGA JUCHITAN","30399","SENTRA SENSE CVT 2.0 LTS","NISSAN","GRAFENO/NEGRO","2026","3N1AB9AE3TY282810","JUCHITAN",0,"",114,"4132523",29/04/2026,"P4V","(JUCHITAN) (# CONCS. : 00525), CANAL ASIG. : ALLOCAT - INDEFINIDO","MR20409254K","","NSSC1","","NACIONAL","","",355285.26,0.00,355285.26
"BODEGA ORIZABA","31569","SENTRA SENSE CVT 2.0 LTS","NISSAN","GRAFENO/NEGRO","2026","3N1AB9AE6TY318781","ORIZABA",0,"",17,"4181926",04/08/2026,"P4V","(ORIZABA), CANAL ASIG. : ALLOCAT - INDEFINIDO","MR20475303K","","NSSC1","","NACIONAL","","",339296.10,0.00,339296.10
"PEÑUELA","31580","SENTRA SENSE CVT 2.0 LTS","NISSAN","AZUL VIBRANTE/NEGRO","2026","3N1AB9AE1TY321457","CORDOBA",0,"",17,"4181924",04/08/2026,"P4V","(CORDOBA) (# CONCS. : 00416), CANAL ASIG. : ALLOCAT - INDEFINIDO","MR20486828K","","NSSC1","","NACIONAL","","",339296.10,0.00,339296.10
"PEÑUELA","31581","SENTRA SENSE CVT 2.0 LTS","NISSAN","GRAFENO/NEGRO","2026","3N1AB9AE3TY319659","CORDOBA",0,"",17,"4181925",04/08/2026,"P4V","(CORDOBA) (# CONCS. : 00416), CANAL ASIG. : ALLOCAT - INDEFINIDO","MR20479912K","","NSSC1","","NACIONAL","","",339296.10,0.00,339296.10
"BODEGA ORIZABA","29351","VERSA ADVANCE CVT 1.6 LTS 118 HP","NISSAN","GRIS /NEGRO","2026","3N1CN9AGXTL814990","ORIZABA",0,"",182,"4093344",20/02/2026,"PV3","NISSAN CONECT FINDER $ 7,300","HR16475807P","","NVAC2","","NACIONAL","","",340317.26,4047.44,344364.70
"BODEGA TUXTEPEC","29430","VERSA ADVANCE CVT 1.6 LTS 118 HP","NISSAN","PLATA/NEGRO","2026","3N1CN9AG4TL812216","TUXTEPEC",0,"",181,"4096288",21/02/2026,"PV3","(TUXTEPEC) (# CONCS. : 00524), CANAL ASIG. : AVR/MAR - DIRECTA NMX","HR16473602P","","NVAC2","","NACIONAL","","",340317.26,0.00,340317.26
"BODEGA JUCHITAN","29440","VERSA ADVANCE CVT 1.6 LTS 118 HP","NISSAN","GRIS /NEGRO","2026","3N1CN9AG8TL817872","JUCHITAN",0,"",181,"4096290",21/02/2026,"PV3","(JUCHITAN) (# CONCS. : 00525), CANAL ASIG. : ALLOCAT - INDEFINIDO","HR16479502P","","NVAC2","","NACIONAL","","",340317.26,0.00,340317.26
"BODEGA ORIZABA","29461","VERSA ADVANCE CVT 1.6 LTS 118 HP","NISSAN","GRIS /NEGRO","2026","3N1CN9AG2TL819102","ORIZABA",0,"",179,"4097540",23/02/2026,"PV3","DISPONIBLE","HR16482496P","","NVAC2","","NACIONAL","","",340317.26,0.00,340317.26
"BODEGA TUXTEPEC","29481","VERSA ADVANCE CVT 1.6 LTS 118 HP","NISSAN","PLATA/NEGRO","2026","3N1CN9AG3TL811624","TUXTEPEC",0,"",179,"4097825",23/02/2026,"PV3","DISPONIBLE | TAA  $ 7,300","HR16472175P","","NVAC2","","NACIONAL","","",340317.26,0.00,340317.26
"BODEGA JUCHITAN","29487","VERSA ADVANCE CVT 1.6 LTS 118 HP","NISSAN","ROJO BURDEOS/NEGRO","2026","3N1CN9AG7TL818348","JUCHITAN",0,"",179,"4097826",23/02/2026,"PV3","DISPONIBLE","HR16481131P","","NVAC2","","NACIONAL","","",340317.26,0.00,340317.26
"BODEGA SALINA CRUZ","29494","VERSA ADVANCE CVT 1.6 LTS 118 HP","NISSAN","GRIS /NEGRO","2026","3N1CN9AG7TL819192","SALINA CRUZ",0,"",179,"4097829",23/02/2026,"PV3","NISSAN CONECT FINDER $ 7,300","HR16481543P","","NVAC2","","NACIONAL","","",340317.26,0.00,340317.26
"BODEGA TUXTEPEC","29572","VERSA ADVANCE CVT 1.6 LTS 118 HP","NISSAN","ROJO BURDEOS/NEGRO","2026","3N1CN9AG5TL820387","TUXTEPEC",0,"",176,"4101735",26/02/2026,"PV3","PORTA PLACAS","HR16478996P","","NVAC2","","NACIONAL","","",340317.26,0.00,340317.26
"BODEGA TUXTEPEC","29722","VERSA ADVANCE CVT 1.6 LTS 118 HP","NISSAN","PLATA/NEGRO","2026","3N1CN9AG1TL820323","TUXTEPEC",0,"",169,"4105470",05/03/2026,"PV3","PORTA PLACAS","HR16482561P","","NVAC2","","NACIONAL","","",340317.26,0.00,340317.26
"BODEGA ORIZABA","29812","VERSA ADVANCE CVT 1.6 LTS 118 HP","NISSAN","GRIS /NEGRO","2026","3N1CN9AG9TL821641","ORIZABA",0,"",160,"4109755",14/03/2026,"PV3","(ORIZABA), CANAL ASIG. : ALLOCAT - INDEFINIDO","HR16482748P","","NVAC2","","NACIONAL","","",340317.26,0.00,340317.26
"BODEGA ORIZABA","29838","VERSA ADVANCE CVT 1.6 LTS 118 HP","NISSAN","GRIS /NEGRO","2026","3N1CN9AG2TL822310","ORIZABA",0,"",155,"4113677",19/03/2026,"PV3","TAPETES RIGIDOS $ 1,340","HR16485611P","","NVAC2","","NACIONAL","","",340317.26,750.08,341067.34
"BODEGA TUXTEPEC","29845","VERSA ADVANCE CVT 1.6 LTS 118 HP","NISSAN","GRIS /NEGRO","2026","3N1CN9AG2TL822159","TUXTEPEC",0,"",155,"4113907",19/03/2026,"PV3","TAPETE DE USO RUDO, PORTA PLACAS, GANCHO PARA BOLSA","HR16484350P","","NVAC2","","NACIONAL","","",340317.26,0.00,340317.26
"BODEGA ORIZABA","29863","VERSA ADVANCE CVT 1.6 LTS 118 HP","NISSAN","PLATA/NEGRO","2026","3N1CN9AG5TL824360","ORIZABA",0,"",152,"4114763",22/03/2026,"PV3","(ORIZABA), CANAL ASIG. : ALLOCAT - INDEFINIDO","HR16488169P","","NVAC2","","NACIONAL","","",340317.26,0.00,340317.26
"BODEGA ORIZABA","29864","VERSA ADVANCE CVT 1.6 LTS 118 HP","NISSAN","ROJO BURDEOS/NEGRO","2026","3N1CN9AG2TL822758","ORIZABA",0,"",152,"4114762",22/03/2026,"PV3","NISSAN CONECT FINDER $ 7,300","HR16486328P","","NVAC2","","NACIONAL","","",340317.26,4026.88,344344.14
"BODEGA ORIZABA","29896","VERSA ADVANCE CVT 1.6 LTS 118 HP","NISSAN","NEGRO/NEGRO CON AZUL","2026","3N1CN9AG4TL827671","ORIZABA",0,"",150,"4116237",24/03/2026,"PV3","(ORIZABA), CANAL ASIG. : ALLOCAT - INDEFINIDO","HR16491817P","","NVAC2","","NACIONAL","","",340317.26,0.00,340317.26
"PEÑUELA","29956","VERSA ADVANCE CVT 1.6 LTS 118 HP","NISSAN","ROJO BURDEOS/NEGRO","2026","3N1CN9AG9TL825074","CORDOBA",0,"",150,"4116238",24/03/2026,"PV3","DISPONIBLE","HR16488954P","","NVAC2","","NACIONAL","","",340317.26,0.00,340317.26
"PEÑUELA","29957","VERSA ADVANCE CVT 1.6 LTS 118 HP","NISSAN","PLATA/NEGRO","2026","3N1CN9AGXTL824984","CORDOBA",0,"",150,"4116239",24/03/2026,"PV3","DISPONIBLE","HR16489005P","","NVAC2","","NACIONAL","","",340317.26,0.00,340317.26
"PEÑUELA","29958","VERSA ADVANCE CVT 1.6 LTS 118 HP","NISSAN","GRIS /NEGRO","2026","3N1CN9AG1TL822265","CORDOBA",0,"",150,"4116235",24/03/2026,"PV3","ESTRIBOS ILUMINADOS+GANCHO P/ BOLSA+DEFLECTORES VIENTO","HR16483802P","","NVAC2","","NACIONAL","","",340317.26,0.00,340317.26
"BODEGA TUXTEPEC","30005","VERSA ADVANCE CVT 1.6 LTS 118 HP","NISSAN","ROJO BURDEOS/NEGRO","2026","3N1CN9AG6TL826358","TUXTEPEC",0,"",150,"4116460",24/03/2026,"PV3","PORTA PLACAS","HR16490360P","","NVAC2","","NACIONAL","","",340317.26,0.00,340317.26
"BODEGA TUXTEPEC","30006","VERSA ADVANCE CVT 1.6 LTS 118 HP","NISSAN","ROJO BURDEOS/NEGRO","2026","3N1CN9AG8TL823249","TUXTEPEC",0,"",150,"4116461",24/03/2026,"PV3","NISSAN CONECT FINDER $ 7,300","HR16486698P","","NVAC2","","NACIONAL","","",340317.26,0.00,340317.26
"BODEGA TUXTEPEC","30007","VERSA ADVANCE CVT 1.6 LTS 118 HP","NISSAN","PLATA/NEGRO","2026","3N1CN9AG6TL822908","TUXTEPEC",0,"",150,"4116459",24/03/2026,"PV3","TAPETES USO RUDO","HR16486727P","","NVAC2","","NACIONAL","","",340317.26,0.00,340317.26
"BODEGA JUCHITAN","30024","VERSA ADVANCE CVT 1.6 LTS 118 HP","NISSAN","ROJO BURDEOS/NEGRO","2026","3N1CN9AG3TL826348","JUCHITAN",0,"",150,"4116457",24/03/2026,"PV3","(JUCHITAN) (# CONCS. : 00525), CANAL ASIG. : ALLOCAT - INDEFINIDO","HR16490375P","","NVAC2","","NACIONAL","","",340317.26,0.00,340317.26
"BODEGA JUCHITAN","30025","VERSA ADVANCE CVT 1.6 LTS 118 HP","NISSAN","GRIS /NEGRO","2026","3N1CN9AG2TL826308","JUCHITAN",0,"",150,"4116456",24/03/2026,"PV3","DISPONIBLE","HR16490383P","","NVAC2","","NACIONAL","","",340317.26,0.00,340317.26
"BODEGA SALINA CRUZ","30043","VERSA ADVANCE CVT 1.6 LTS 118 HP","NISSAN","PLATA/NEGRO","2026","3N1CN9AG4TL822888","SALINA CRUZ",0,"",150,"4116458",24/03/2026,"PV3","PORTAPLACAS NISSAN $ 1,130 + TAPETES RIGIDOS $ 1,340 + GANCHO CAJUELA P/BOLSAS $ 740","HR16486658P","","NVAC2","","NACIONAL","","",340317.26,0.00,340317.26
"BODEGA SALINA CRUZ","30044","VERSA ADVANCE CVT 1.6 LTS 118 HP","NISSAN","ROJO BURDEOS/NEGRO","2026","3N1CN9AG2TL822694","SALINA CRUZ",0,"",150,"4116455",24/03/2026,"PV3","NISSAN CONECT FINDER $ 7,300","HR16486231P","","NVAC2","","NACIONAL","","",340317.26,0.00,340317.26
"PEÑUELA","30061","VERSA ADVANCE CVT 1.6 LTS 118 HP","NISSAN","ROJO BURDEOS/NEGRO","2026","3N1CN9AG8TL827835","CORDOBA",0,"",149,"4117794",25/03/2026,"PV3","(CORDOBA) (# CONCS. : 00416), CANAL ASIG. : ALLOCAT - INDEFINIDO","HR16491109P","","NVAC2","","NACIONAL","","",340317.26,0.00,340317.26
"BODEGA ORIZABA","30120","VERSA ADVANCE CVT 1.6 LTS 118 HP","NISSAN","GRIS /NEGRO","2026","3N1CN9AG7TL828409","ORIZABA",0,"",147,"4120130",27/03/2026,"PV3","TAPETES RIGIDOS $ 1,340","HR16493225P","","NVAC2","","NACIONAL","","",340317.26,750.08,341067.34
"BODEGA JUCHITAN","30338","VERSA ADVANCE CVT 1.6 LTS 118 HP","NISSAN","BLANCO PERLADO/NEGRO","2026","3N1CN9AG8TL832128","JUCHITAN",0,"",121,"4128828",22/04/2026,"PV3","DISPONIBLE","HR16498848P","","NVAC2","","NACIONAL","","",340439.26,0.00,340439.26
"BODEGA ORIZABA","30351","VERSA ADVANCE CVT 1.6 LTS 118 HP","NISSAN","PLATA/NEGRO","2026","3N1CN9AG5TL832720","ORIZABA",0,"",116,"4130396",27/04/2026,"PV3","NISSAN CONECT FINDER $ 7,300","HR16499701P","","NVAC2","","NACIONAL","","",340439.26,4026.87,344466.13
"BODEGA TIERRABLANCA","30443","VERSA ADVANCE CVT 1.6 LTS 118 HP","NISSAN","GRIS /NEGRO","2026","3N1CN9AGXTL834060","TIERRA BLANCA",0,"",113,"4134023",30/04/2026,"PV3","DISPONIBLE","HR16501307P","","NVAC2","","NACIONAL","","",340439.26,0.00,340439.26
"BODEGA TUXTEPEC","30471","VERSA ADVANCE CVT 1.6 LTS 118 HP","NISSAN","GRIS /NEGRO","2026","3N1CN9AG2TL829130","TUXTEPEC",0,"",113,"4134455",30/04/2026,"PV3","TAPETES USO RUDO","HR16491773P","","NVAC2","","NACIONAL","","",340439.26,0.00,340439.26
"BODEGA TIERRABLANCA","30475","VERSA ADVANCE CVT 1.6 LTS 118 HP","NISSAN","ROJO BURDEOS/NEGRO","2026","3N1CN9AG1TL834853","TIERRA BLANCA",0,"",108,"4135360",05/05/2026,"PV3","(TIERRA BLANCA) (# CONCS. : 00410), CANAL ASIG. : ALLOCAT - INDEFINIDO","HR16501954P","","NVAC2","","NACIONAL","","",340439.26,0.00,340439.26
"BODEGA ORIZABA","30511","VERSA ADVANCE CVT 1.6 LTS 118 HP","NISSAN","PLATA/NEGRO","2026","3N1CN9AG7TL834307","ORIZABA",0,"",113,"4134636",30/04/2026,"PV3","(ORIZABA), CANAL ASIG. : AVR/MAR - DIRECTA NMX","HR16501701P","","NVAC2","","NACIONAL","","",340439.26,0.00,340439.26
"BODEGA JUCHITAN","30530","VERSA ADVANCE CVT 1.6 LTS 118 HP","NISSAN","ROJO BURDEOS/NEGRO","2026","3N1CN9AG6TL836128","JUCHITAN",0,"",100,"4137712",13/05/2026,"PV3","DISPONIBLE | EXHIBIDA EN MATIAS ROMERO","HR16504718P","","NVAC2","","NACIONAL","","",340439.26,0.00,340439.26
"BODEGA ORIZABA","30540","VERSA ADVANCE CVT 1.6 LTS 118 HP","NISSAN","GRIS /NEGRO","2026","3N1CN9AGXTL836536","ORIZABA",0,"",98,"4138886",15/05/2026,"PV3","UNIDAD ROTULADA EN EXHIBICION","HR16506080P","","NVAC2","","NACIONAL","","",340439.26,140.84,340580.10
"PEÑUELA","30551","VERSA ADVANCE CVT 1.6 LTS 118 HP","NISSAN","PLATA/NEGRO","2026","3N1CN9AG3TL836989","CORDOBA",0,"",98,"4138885",15/05/2026,"PV3","(CORDOBA) (# CONCS. : 00416), CANAL ASIG. : ALLOCAT - INDEFINIDO","HR16507063P","","NVAC2","","NACIONAL","","",340439.26,0.00,340439.26
"BODEGA ORIZABA","30575","VERSA ADVANCE CVT 1.6 LTS 118 HP","NISSAN","NEGRO/NEGRO CON AZUL","2026","3N1CN9AG6TL837666","ORIZABA",0,"",95,"4139828",18/05/2026,"PV3","DISPONIBLE","HR16506400P","","NVAC2","","NACIONAL","","",340439.26,0.00,340439.26
"BODEGA ORIZABA","30606","VERSA ADVANCE CVT 1.6 LTS 118 HP","NISSAN","ROJO BURDEOS/NEGRO","2026","3N1CN9AG6TL838283","ORIZABA",0,"",94,"4140766",19/05/2026,"PV3","(ORIZABA), CANAL ASIG. : ALLOCAT - INDEFINIDO","HR16508156P","","NVAC2","","NACIONAL","","",340439.26,0.00,340439.26
"PEÑUELA","30690","VERSA ADVANCE CVT 1.6 LTS 118 HP","NISSAN","ROJO BURDEOS/NEGRO","2026","3N1CN9AG4TL838251","CORDOBA",0,"",87,"4143429",26/05/2026,"PV3","(CORDOBA) (# CONCS. : 00416), CANAL ASIG. : ALLOCAT - INDEFINIDO","HR16508157P","","NVAC2","","NACIONAL","","",340439.26,0.00,340439.26
"PEÑUELA","30879","VERSA ADVANCE CVT 1.6 LTS 118 HP","NISSAN","PLATA/NEGRO","2026","3N1CN9AG7TL839202","CORDOBA",0,"",82,"4149411",31/05/2026,"PV3","(CORDOBA) (# CONCS. : 00416), CANAL ASIG. : ALLOCAT - INDEFINIDO","HR16508999P","","NVAC2","","NACIONAL","","",340439.26,0.00,340439.26
"BODEGA TIERRABLANCA","30966","VERSA ADVANCE CVT 1.6 LTS 118 HP","NISSAN","PLATA/NEGRO","2026","3N1CN9AG0TL839316","TIERRA BLANCA",0,"",73,"4152095",09/06/2026,"PV3","(TIERRA BLANCA) (# CONCS. : 00410), CANAL ASIG. : ALLOCAT - INDEFINIDO","HR16507545P","","NVAC2","","NACIONAL","","",340439.26,0.00,340439.26
"BODEGA TIERRABLANCA","30967","VERSA ADVANCE CVT 1.6 LTS 118 HP","NISSAN","GRIS /NEGRO","2026","3N1CN9AG2TL842153","TIERRA BLANCA",0,"",73,"4152096",09/06/2026,"PV3","(TIERRA BLANCA) (# CONCS. : 00410), CANAL ASIG. : ALLOCAT - INDEFINIDO","HR16512112P","","NVAC2","","NACIONAL","","",340439.26,0.00,340439.26
"BODEGA SALINA CRUZ","30980","VERSA ADVANCE CVT 1.6 LTS 118 HP","NISSAN","ROJO BURDEOS/NEGRO","2026","3N1CN9AG8TL841671","SALINA CRUZ",0,"",73,"4152275",09/06/2026,"PV3","(SALINA CRUZ) (# CONCS. : 00526), CANAL ASIG. : ALLOCAT - INDEFINIDO","HR16511871P","","NVAC2","","NACIONAL","","",340439.26,0.00,340439.26
"PEÑUELA","30988","VERSA ADVANCE CVT 1.6 LTS 118 HP","NISSAN","BLANCO PERLADO/NEGRO","2026","3N1CN9AG7TL842424","CORDOBA",0,"",72,"4152861",10/06/2026,"PV3","(CORDOBA) (# CONCS. : 00416), CANAL ASIG. : ALLOCAT - INDEFINIDO","HR16513855P","","NVAC2","","NACIONAL","","",340439.26,0.00,340439.26
"BODEGA TIERRABLANCA","31012","VERSA ADVANCE CVT 1.6 LTS 118 HP","NISSAN","ROJO BURDEOS/NEGRO","2026","3N1CN9AG2TL843707","TIERRA BLANCA",0,"",70,"4153766",12/06/2026,"PV3","(TIERRA BLANCA) (# CONCS. : 00410), CANAL ASIG. : ALLOCAT - INDEFINIDO","HR16515317P","","NVAC2","","NACIONAL","","",340439.26,0.00,340439.26
"BODEGA TUXTEPEC","31047","VERSA ADVANCE CVT 1.6 LTS 118 HP","NISSAN","BLANCO PERLADO/NEGRO","2026","3N1CN9AG3TL844641","TUXTEPEC",0,"",67,"4155236",15/06/2026,"PV3","TAPETE DE USO RUDO, TAPETE DE CAJUELA, PORTA PLACAS, GANCHO PARA BOLSA","HR16517860P","","NVAC2","","NACIONAL","","",340439.26,0.00,340439.26
"BODEGA SALINA CRUZ","31054","VERSA ADVANCE CVT 1.6 LTS 118 HP","NISSAN","PLATA/NEGRO","2026","3N1CN9AG0TL845097","SALINA CRUZ",0,"",67,"4155235",15/06/2026,"PV3","(SALINA CRUZ) (# CONCS. : 00526), CANAL ASIG. : ALLOCAT - INDEFINIDO","HR16515989P","","NVAC2","","NACIONAL","","",340439.26,0.00,340439.26
"BODEGA SALINA CRUZ","31158","VERSA ADVANCE CVT 1.6 LTS 118 HP","NISSAN","GRIS /NEGRO","2026","3N1CN9AG7TL847560","SALINA CRUZ",0,"",59,"4159629",23/06/2026,"PV3","(SALINA CRUZ) (# CONCS. : 00526), CANAL ASIG. : ALLOCAT - INDEFINIDO","HR16519520P","","NVAC2","","NACIONAL","","",340439.26,0.00,340439.26
"BODEGA SALINA CRUZ","31215","VERSA ADVANCE CVT 1.6 LTS 118 HP","NISSAN","GRIS /NEGRO","2026","3N1CN9AG8TL849186","SALINA CRUZ",0,"",56,"4162408",26/06/2026,"PV3","(SALINA CRUZ) (# CONCS. : 00526), CANAL ASIG. : ALLOCAT - INDEFINIDO","HR16521640P","","NVAC2","","NACIONAL","","",340439.26,0.00,340439.26
"BODEGA TUXTEPEC","31236","VERSA ADVANCE CVT 1.6 LTS 118 HP","NISSAN","AZUL COBALTO/NEGRO","2026","3N1CN9AG5TL849596","TUXTEPEC",0,"",54,"4163137",28/06/2026,"PV3","TAPETE DE USO RUDO, TAPETE DE CAJUELA, PORTA PLACAS, GANCHO PARA BOL","HR16522705P","","NVAC2","","NACIONAL","","",340439.26,0.00,340439.26
"PEÑUELA","31252","VERSA ADVANCE CVT 1.6 LTS 118 HP","NISSAN","GRIS /NEGRO","2026","3N1CN9AG3TL848396","CORDOBA",0,"",53,"4165173",29/06/2026,"PV3","TAPETE CAJUELA RIGIDO, TAPETES USO RUDO, NITRO ACC TAPON, PORTAPLACAS CROMADO","HR16521829P","","NVAC2","","NACIONAL","","",340439.26,0.00,340439.26
"PEÑUELA","31296","VERSA ADVANCE CVT 1.6 LTS 118 HP","NISSAN","AZUL COBALTO/NEGRO","2026","3N1CN9AG5TL849307","CORDOBA",0,"",52,"4167583",30/06/2026,"PV3","TAPETE CAJUELA RIGIDO, TAPETES USO RUDO, NITRO ACC TAPON, PORTAPLACAS CROMADO","HR16523135P","","NVAC2","","NACIONAL","","",340439.26,0.00,340439.26
"BODEGA TUXTEPEC","31463","VERSA ADVANCE CVT 1.6 LTS 118 HP","NISSAN","GRIS /NEGRO","2026","3N1CN9AG2TL843206","TUXTEPEC",0,"",24,"4177173",28/07/2026,"PV3","(TUXTEPEC) (# CONCS. : 00524), CANAL ASIG. : ALLOCAT - INDEFINIDO","HR16512176P","","NVAC2","","NACIONAL","","",340439.26,0.00,340439.26
"BODEGA SALINA CRUZ","29339","VERSA EXCLUSIVE CVT 1.6 LTS 118 HP","NISSAN","AZUL ACERO/NEGRO","2026","3N1CN9AG0TL813265","SALINA CRUZ",0,"",183,"4091118",19/02/2026,"PDE","DEMO | SALINA CRUZ","HR16474184P","","NVEC1","","NACIONAL","","",363746.48,0.00,363746.48
"BODEGA TIERRABLANCA","29360","VERSA EXCLUSIVE CVT 1.6 LTS 118 HP","NISSAN","AZUL ACERO/NEGRO","2026","3N1CN9AGXTL812253","TIERRA BLANCA",0,"",182,"4093348",20/02/2026,"PDE","DEMO | TB | DEFLECTOR VIENTO,TAPETE USO RUDO,PORTAPLACAS,ESTRIBOS INT, PROT CAJUELA","HR16473447P","","NVEC1","","NACIONAL","","",363763.26,0.00,363763.26
"PEÑUELA","29381","VERSA EXCLUSIVE CVT 1.6 LTS 118 HP","NISSAN","AZUL ACERO/NEGRO","2026","3N1CN9AG3TL815494","CORDOBA",0,"ANA FRANK SORIANO OR",182,"4093346",20/02/2026,"PV3","21/08/26 526 ADRIAN ALBINO RIVERA MARTINEZ","HR16476749P","","NVEC1","","NACIONAL","","",363763.26,0.00,363763.26
"BODEGA ORIZABA","29413","VERSA EXCLUSIVE CVT 1.6 LTS 118 HP","NISSAN","AZUL ACERO/NEGRO","2026","3N1CN9AGXTL812690","ORIZABA",0,"",181,"4095888",21/02/2026,"PDE","DEMO | ORIZABA | TAPETE USO RUDO, ESTRIBOS INT, PORTAPLACAS, PROTECT CAJUELA, DEFLECTOR","HR16473897P","","NVEC1","","NACIONAL","","",363763.26,9346.44,373109.70
